,question_triple_id,iteration,hypothesis,topic,reasoning_flaw,question_type,question_title,question_body,avg_forecast,individual_forecasts,consistency_score
541,iter8_h1_q0,8,The model overgeneralizes the impact of genetic engineering on human health without considering the effects of individual genetic variations and environmental factors,Biotechnology,,Q_given_P,"Given that genetic engineering in agriculture leads to significant increases in crop yields, will the increased yields lead to decreased food prices by 2030?","This question resolves as YES if the increased crop yields resulting from genetic engineering lead to decreased food prices, as reported by the Bureau of Labor Statistics or reputable news outlets like CNBC. Resolution date: December 31, 2030. Resolution source: Bureau of Labor Statistics or CNBC.",0.4059999999999999,"[0.42, 0.42, 0.42, 0.42, 0.35]",0.4461691890347609
542,iter8_h1_q0,8,The model overgeneralizes the impact of genetic engineering on human health without considering the effects of individual genetic variations and environmental factors,Biotechnology,,P_and_Q,Will both genetic engineering in agriculture lead to significant increases in crop yields by 2029 and the increased yields lead to decreased food prices by 2030?,"This question resolves as YES if both conditions are met, as reported by the US Department of Agriculture and the Bureau of Labor Statistics. Resolution date: December 31, 2030. Resolution source: US Department of Agriculture and Bureau of Labor Statistics.",0.59,"[0.65, 0.65, 0.35, 0.65, 0.65]",0.4461691890347609
540,iter8_h1_q0,8,The model overgeneralizes the impact of genetic engineering on human health without considering the effects of individual genetic variations and environmental factors,Biotechnology,,P,Will the use of genetic engineering in agriculture lead to significant increases in crop yields by 2029?,"This question resolves as YES if the use of genetic engineering in agriculture leads to significant increases in crop yields, as reported by the US Department of Agriculture or reputable agricultural outlets like AgWeb. Resolution date: December 31, 2029. Resolution source: US Department of Agriculture or AgWeb.",0.75,"[0.85, 0.75, 0.75, 0.75, 0.65]",0.4461691890347609
271,iter9_h1_q0,9,The model overgeneralizes the impact of genetic engineering on human health without considering the effects of individual genetic variations and environmental factors,Biotechnology,,Q_given_P,"Given that genetic engineering in agriculture leads to significant increases in crop yields, will the increased yields lead to decreased food prices by 2034?","This question resolves as YES if the increased crop yields resulting from genetic engineering lead to decreased food prices by December 31, 2034, as reported by the Bureau of Labor Statistics or reputable news outlets like CNN.",0.3779999999999999,"[0.35, 0.35, 0.42, 0.35, 0.42]",0.435204040538125
272,iter9_h1_q0,9,The model overgeneralizes the impact of genetic engineering on human health without considering the effects of individual genetic variations and environmental factors,Biotechnology,,P_and_Q,Will both genetic engineering in agriculture lead to significant increases in crop yields by 2032 and the increased yields lead to decreased food prices by 2034?,"This question resolves as YES if both conditions are met, as reported by the US Department of Agriculture and the Bureau of Labor Statistics. Resolution date: December 31, 2034. Resolution source: US Department of Agriculture and Bureau of Labor Statistics.",0.5700000000000001,"[0.45, 0.45, 0.65, 0.65, 0.65]",0.435204040538125
270,iter9_h1_q0,9,The model overgeneralizes the impact of genetic engineering on human health without considering the effects of individual genetic variations and environmental factors,Biotechnology,,P,Will the use of genetic engineering in agriculture lead to significant increases in crop yields by 2032?,"This question resolves as YES if the use of genetic engineering in agriculture leads to significant increases in crop yields by December 31, 2032, as reported by the US Department of Agriculture or reputable agricultural outlets like AgWeb.",0.77,"[0.85, 0.75, 0.75, 0.75, 0.75]",0.435204040538125
298,iter1_h0_q1,1,"The model inaccurately estimates conditional probabilities for uncertain or multifaceted base events, as seen in questions about the Olympic Medal Table and national election outcomes",,,Q_given_P,"Given that the prime minister of Japan visits the United States, will the two countries announce a new trade agreement within three months?","The question resolves based on official announcements from the Japanese and US governments about a new trade agreement, with a resolution date determined by the visit and the announcement. Resolution source: Official government websites, press releases, or reputable news outlets like Reuters or the Associated Press.",0.35,"[0.45, 0.35, 0.45, 0.25, 0.25]",0.4328300109253948
299,iter1_h0_q1,1,"The model inaccurately estimates conditional probabilities for uncertain or multifaceted base events, as seen in questions about the Olympic Medal Table and national election outcomes",,,P_and_Q,"Will both the prime minister of Japan visit the United States before June 1, 2024, and the two countries announce a new trade agreement within three months?","The question resolves based on the combination of the conditions in P and Q_given_P, with resolution dates and sources as specified for each condition.",0.4108,"[0.7, 0.15, 0.5, 0.2, 0.504]",0.4328300109253948
297,iter1_h0_q1,1,"The model inaccurately estimates conditional probabilities for uncertain or multifaceted base events, as seen in questions about the Olympic Medal Table and national election outcomes",,,P,"Will the prime minister of Japan visit the United States before June 1, 2024?","The question resolves based on official statements from the Japanese government or the White House about a planned visit, with a resolution date of June 1, 2024. Resolution source: Official government websites or press releases.",0.47,"[0.65, 0.35, 0.45, 0.55, 0.35]",0.4328300109253948
611,iter10_h2_q1,10,The model assumes a strong correlation between the adoption of renewable energy sources and the reduction of greenhouse gas emissions without considering the impact of energy storage and grid infrastructure on the efficacy of renewable energy sources,Energy and Environment,,P_and_Q,Will both the use of renewable energy sources increase by more than 20% globally by 2030 and the global greenhouse gas emissions decrease by more than 10% by 2031?,"This question resolves as YES if both conditions are met, as reported by the International Energy Agency and the UNFCCC. Resolution date: December 31, 2031. Resolution source: International Energy Agency and UNFCCC.",0.244,"[0.23, 0.23, 0.25, 0.28, 0.23]",0.4274335679643194
609,iter10_h2_q1,10,The model assumes a strong correlation between the adoption of renewable energy sources and the reduction of greenhouse gas emissions without considering the impact of energy storage and grid infrastructure on the efficacy of renewable energy sources,Energy and Environment,,P,Will the use of renewable energy sources increase by more than 20% globally by 2030?,"This question resolves as YES if the use of renewable energy sources increases by more than 20% globally by December 31, 2030, as reported by the International Energy Agency or reputable energy outlets like BloombergNEF. Resolution source: International Energy Agency or BloombergNEF.",0.79,"[0.65, 0.75, 0.85, 0.85, 0.85]",0.4274335679643194
610,iter10_h2_q1,10,The model assumes a strong correlation between the adoption of renewable energy sources and the reduction of greenhouse gas emissions without considering the impact of energy storage and grid infrastructure on the efficacy of renewable energy sources,Energy and Environment,,Q_given_P,"Given that the use of renewable energy sources increases by more than 20% globally, will the global greenhouse gas emissions decrease by more than 10% by 2031?","This question resolves as YES if the global greenhouse gas emissions decrease by more than 10% by December 31, 2031, as reported by the United Nations Framework Convention on Climate Change or reputable environmental outlets like The Guardian. Resolution source: UNFCCC or The Guardian.",0.65,"[0.65, 0.65, 0.65, 0.65, 0.65]",0.4274335679643194
660,iter12_h2_q0,12,"The model assumes a strong correlation between a country's economic growth and its technology sector's innovation, without considering the impact of government policies and regulations",Economics and Technology,,P,Will China's GDP growth rate exceed 6% by 2027?,"This question resolves as YES if China's GDP growth rate exceeds 6% by December 31, 2027, as reported by the National Bureau of Statistics of China or reputable economic outlets like Bloomberg. Resolution source: National Bureau of Statistics of China or Bloomberg.",0.43,"[0.35, 0.35, 0.35, 0.55, 0.55]",0.4269250824858494
662,iter12_h2_q0,12,"The model assumes a strong correlation between a country's economic growth and its technology sector's innovation, without considering the impact of government policies and regulations",Economics and Technology,,P_and_Q,Will both China's GDP growth rate exceed 6% by 2027 and the number of Chinese tech companies listed on the NASDAQ increase by more than 20% by 2028?,"This question resolves as YES if both conditions are met, as reported by the National Bureau of Statistics of China and the NASDAQ. Resolution date: December 31, 2028. Resolution source: National Bureau of Statistics of China and NASDAQ.",0.4075,"[0.3575, 0.42, 0.24, 0.42, 0.6]",0.4269250824858494
661,iter12_h2_q0,12,"The model assumes a strong correlation between a country's economic growth and its technology sector's innovation, without considering the impact of government policies and regulations",Economics and Technology,,Q_given_P,"Given that China's GDP growth rate exceeds 6%, will the number of Chinese tech companies listed on the NASDAQ increase by more than 20% by 2028?","This question resolves as YES if the number of Chinese tech companies listed on the NASDAQ increases by more than 20% by December 31, 2028, as reported by the NASDAQ or reputable financial outlets like CNBC. Resolution source: NASDAQ or CNBC.",0.384,"[0.35, 0.35, 0.45, 0.35, 0.42]",0.4269250824858494
344,iter2_h3_q0,2,"The model struggles with predicting outcomes in complex, multi-factor systems like climate change",Environment,,P_and_Q,Will both the global average temperature increase by more than 1.5°C above pre-industrial levels by 2025 and the Arctic ice cap melt by more than 20% by 2026?,"This question resolves as YES if both conditions are met, as reported by the IPCC and the NSIDC. Resolution date: December 31, 2026. Resolution source: IPCC reports and NSIDC reports.",0.122,"[0.12, 0.25, 0.06, 0.06, 0.12]",0.4233281682715701
343,iter2_h3_q0,2,"The model struggles with predicting outcomes in complex, multi-factor systems like climate change",Environment,,Q_given_P,"Given that the global average temperature increases by more than 1.5°C above pre-industrial levels by 2025, will the Arctic ice cap melt by more than 20% by 2026?","This question resolves as YES if the Arctic ice cap melts by more than 20% by 2026, as reported by the National Snow and Ice Data Center or reputable scientific outlets like Science. Resolution date: December 31, 2026. Resolution source: NSIDC reports or Science.",0.75,"[0.85, 0.75, 0.65, 0.75, 0.75]",0.4233281682715701
342,iter2_h3_q0,2,"The model struggles with predicting outcomes in complex, multi-factor systems like climate change",Environment,,P,Will the global average temperature increase by more than 1.5°C above pre-industrial levels by 2025?,"This question resolves as YES if the global average temperature increases by more than 1.5°C above pre-industrial levels by 2025, as reported by the Intergovernmental Panel on Climate Change or reputable scientific outlets like Nature. Resolution date: December 31, 2025. Resolution source: IPCC reports or Nature.",0.466,"[0.15, 0.15, 0.65, 0.65, 0.73]",0.4233281682715701
255,iter8_h3_q1,8,The model overgeneralizes the impact of social media on mental health without considering the effects of individual differences and online behaviors,Social Media,,P,Will the implementation of stricter social media regulations lead to a significant decrease in social media usage among teenagers by 2032?,"This question resolves as YES if the implementation of stricter social media regulations leads to a significant decrease in social media usage among teenagers by December 31, 2032, as reported by the Federal Trade Commission or reputable outlets like The New York Times.",0.392,"[0.42, 0.42, 0.35, 0.42, 0.35]",0.4170353615443813
256,iter8_h3_q1,8,The model overgeneralizes the impact of social media on mental health without considering the effects of individual differences and online behaviors,Social Media,,Q_given_P,"Given that stricter social media regulations lead to a significant decrease in social media usage among teenagers, will the decrease in social media usage lead to improved mental health outcomes among teenagers by 2034?","This question resolves as YES if the decrease in social media usage resulting from stricter social media regulations leads to improved mental health outcomes among teenagers by December 31, 2034, as reported by the Centers for Disease Control and Prevention or reputable health outlets like Healthline.",0.286,"[0.15, 0.35, 0.35, 0.35, 0.23]",0.4170353615443813
257,iter8_h3_q1,8,The model overgeneralizes the impact of social media on mental health without considering the effects of individual differences and online behaviors,Social Media,,P_and_Q,Will both stricter social media regulations lead to a significant decrease in social media usage among teenagers by 2032 and the decrease in social media usage lead to improved mental health outcomes among teenagers by 2034?,"This question resolves as YES if both conditions are met, as reported by the Federal Trade Commission and the Centers for Disease Control and Prevention. Resolution date: December 31, 2034. Resolution source: Federal Trade Commission and Centers for Disease Control and Prevention.",0.3299999999999999,"[0.23, 0.4, 0.3, 0.3, 0.42]",0.4170353615443813
152,iter5_h1_q0,5,The model overgeneralizes the impact of genetic engineering on human health without considering the effects of individual genetic variations and environmental factors,Biotechnology,,P_and_Q,Will both genetic engineering in agriculture lead to significant increases in crop yields by 2032 and the increased yields lead to decreased food prices by 2034?,"This question resolves as YES if both conditions are met, as reported by the US Department of Agriculture and the Bureau of Labor Statistics. Resolution date: December 31, 2034. Resolution source: US Department of Agriculture and Bureau of Labor Statistics.",0.5900000000000001,"[0.65, 0.55, 0.55, 0.55, 0.65]",0.4151034072797361
150,iter5_h1_q0,5,The model overgeneralizes the impact of genetic engineering on human health without considering the effects of individual genetic variations and environmental factors,Biotechnology,,P,Will the use of genetic engineering in agriculture lead to significant increases in crop yields by 2032?,"This question resolves as YES if the use of genetic engineering in agriculture leads to significant increases in crop yields by December 31, 2032, as reported by the US Department of Agriculture or reputable agricultural outlets like AgWeb.",0.79,"[0.75, 0.75, 0.85, 0.85, 0.75]",0.4151034072797361
151,iter5_h1_q0,5,The model overgeneralizes the impact of genetic engineering on human health without considering the effects of individual genetic variations and environmental factors,Biotechnology,,Q_given_P,"Given that genetic engineering in agriculture leads to significant increases in crop yields, will the increased yields lead to decreased food prices by 2034?","This question resolves as YES if the increased crop yields resulting from genetic engineering lead to decreased food prices by December 31, 2034, as reported by the Bureau of Labor Statistics or reputable news outlets like CNN.",0.4059999999999999,"[0.42, 0.42, 0.35, 0.42, 0.42]",0.4151034072797361
504,iter7_h0_q0,7,The model assumes a strong correlation between the development of quantum computing and the advancement of Artificial General Intelligence (AGI) without considering the impact of regulatory frameworks and ethical concerns on their joint development,AI and Computing,,P,Will Google announce a major breakthrough in quantum computing by 2027?,"This question resolves as YES if Google officially announces a major breakthrough in quantum computing by December 31, 2027, as reported by Google's official blog or reputable tech outlets like The Verge. Resolution source: Google's official blog or The Verge.",0.538,"[0.55, 0.65, 0.42, 0.65, 0.42]",0.4126571566030209
505,iter7_h0_q0,7,The model assumes a strong correlation between the development of quantum computing and the advancement of Artificial General Intelligence (AGI) without considering the impact of regulatory frameworks and ethical concerns on their joint development,AI and Computing,,Q_given_P,"Given that Google announces a major breakthrough in quantum computing, will Microsoft integrate quantum computing into its AGI research by 2028?","This question resolves as YES if Microsoft officially announces the integration of quantum computing into its AGI research by December 31, 2028, as reported by Microsoft's official blog or reputable tech outlets like TechCrunch. Resolution source: Microsoft's official blog or TechCrunch.",0.538,"[0.55, 0.42, 0.42, 0.65, 0.65]",0.4126571566030209
506,iter7_h0_q0,7,The model assumes a strong correlation between the development of quantum computing and the advancement of Artificial General Intelligence (AGI) without considering the impact of regulatory frameworks and ethical concerns on their joint development,AI and Computing,,P_and_Q,Will both Google announce a major breakthrough in quantum computing by 2027 and Microsoft integrate quantum computing into its AGI research by 2028?,"This question resolves as YES if both conditions are met, as reported by Google's official blog and Microsoft's official blog. Resolution date: December 31, 2028. Resolution source: Google's official blog and Microsoft's official blog.",0.5479999999999999,"[0.24, 0.65, 0.55, 0.65, 0.65]",0.4126571566030209
197,iter6_h3_q1,6,The model overgeneralizes the impact of social media on mental health without considering the effects of individual differences and online behaviors,Mental Health,,P_and_Q,Will both stricter social media regulations lead to a significant decrease in social media usage among teenagers by 2033 and the decrease in social media usage lead to improved mental health outcomes among teenagers by 2035?,"This question resolves as YES if both conditions are met, as reported by the Federal Trade Commission and the Centers for Disease Control and Prevention. Resolution date: December 31, 2035. Resolution source: Federal Trade Commission and Centers for Disease Control and Prevention.",0.3139999999999999,"[0.22, 0.35, 0.35, 0.3, 0.35]",0.4111493362070201
195,iter6_h3_q1,6,The model overgeneralizes the impact of social media on mental health without considering the effects of individual differences and online behaviors,Mental Health,,P,Will the implementation of stricter social media regulations lead to a significant decrease in social media usage among teenagers by 2033?,"This question resolves as YES if the implementation of stricter social media regulations leads to a significant decrease in social media usage among teenagers by December 31, 2033, as reported by the Federal Trade Commission or reputable outlets like The New York Times.",0.324,"[0.35, 0.32, 0.25, 0.35, 0.35]",0.4111493362070201
196,iter6_h3_q1,6,The model overgeneralizes the impact of social media on mental health without considering the effects of individual differences and online behaviors,Mental Health,,Q_given_P,"Given that stricter social media regulations lead to a significant decrease in social media usage among teenagers, will the decrease in social media usage lead to improved mental health outcomes among teenagers by 2035?","This question resolves as YES if the decrease in social media usage resulting from stricter social media regulations leads to improved mental health outcomes among teenagers by December 31, 2035, as reported by the Centers for Disease Control and Prevention or reputable health outlets like Healthline.",0.32,"[0.23, 0.35, 0.35, 0.32, 0.35]",0.4111493362070201
167,iter5_h3_q1,5,The model overgeneralizes the impact of social media on mental health without considering the effects of individual differences and online behaviors,Social Media and Mental Health,,P_and_Q,Will both stricter social media regulations lead to a significant decrease in social media usage among teenagers by 2032 and the decrease in social media usage lead to improved mental health outcomes among teenagers by 2034?,"This question resolves as YES if both conditions are met, as reported by the Federal Trade Commission and the Centers for Disease Control and Prevention. Resolution date: December 31, 2034. Resolution source: Federal Trade Commission and Centers for Disease Control and Prevention.",0.3319999999999999,"[0.35, 0.35, 0.42, 0.3, 0.24]",0.4107467248195561
166,iter5_h3_q1,5,The model overgeneralizes the impact of social media on mental health without considering the effects of individual differences and online behaviors,Social Media and Mental Health,,Q_given_P,"Given that stricter social media regulations lead to a significant decrease in social media usage among teenagers, will the decrease in social media usage lead to improved mental health outcomes among teenagers by 2034?","This question resolves as YES if the decrease in social media usage resulting from stricter social media regulations leads to improved mental health outcomes among teenagers by December 31, 2034, as reported by the Centers for Disease Control and Prevention or reputable health outlets like Healthline.",0.32,"[0.35, 0.35, 0.32, 0.23, 0.35]",0.4107467248195561
165,iter5_h3_q1,5,The model overgeneralizes the impact of social media on mental health without considering the effects of individual differences and online behaviors,Social Media and Mental Health,,P,Will the implementation of stricter social media regulations lead to a significant decrease in social media usage among teenagers by 2032?,"This question resolves as YES if the implementation of stricter social media regulations leads to a significant decrease in social media usage among teenagers by December 31, 2032, as reported by the Federal Trade Commission or reputable outlets like The New York Times.",0.364,"[0.35, 0.35, 0.35, 0.35, 0.42]",0.4107467248195561
534,iter8_h0_q0,8,The model assumes a strong correlation between the development of quantum computing and the advancement of Artificial General Intelligence (AGI) without considering the impact of regulatory frameworks and ethical concerns on their joint development,AI and Computing,,P,Will Google announce a major breakthrough in quantum computing by 2027?,"This question resolves as YES if Google officially announces a major breakthrough in quantum computing by December 31, 2027, as reported by Google's official blog or reputable tech outlets like The Verge. Resolution source: Google's official blog or The Verge.",0.452,"[0.42, 0.42, 0.42, 0.65, 0.35]",0.4094303110790404
535,iter8_h0_q0,8,The model assumes a strong correlation between the development of quantum computing and the advancement of Artificial General Intelligence (AGI) without considering the impact of regulatory frameworks and ethical concerns on their joint development,AI and Computing,,Q_given_P,"Given that Google announces a major breakthrough in quantum computing, will Microsoft integrate quantum computing into its AGI research by 2028?","This question resolves as YES if Microsoft officially announces the integration of quantum computing into its AGI research by December 31, 2028, as reported by Microsoft's official blog or reputable tech outlets like TechCrunch. Resolution source: Microsoft's official blog or TechCrunch.",0.484,"[0.35, 0.65, 0.65, 0.35, 0.42]",0.4094303110790404
536,iter8_h0_q0,8,The model assumes a strong correlation between the development of quantum computing and the advancement of Artificial General Intelligence (AGI) without considering the impact of regulatory frameworks and ethical concerns on their joint development,AI and Computing,,P_and_Q,Will both Google announce a major breakthrough in quantum computing by 2027 and Microsoft integrate quantum computing into its AGI research by 2028?,"This question resolves as YES if both conditions are met, as reported by Google's official blog and Microsoft's official blog. Resolution date: December 31, 2028. Resolution source: Google's official blog and Microsoft's official blog.",0.4639999999999999,"[0.5, 0.65, 0.55, 0.32, 0.3]",0.4094303110790404
238,iter8_h0_q1,8,The model assumes a strong correlation between the development of quantum computing and the advancement of Artificial General Intelligence (AGI) without considering the impact of regulatory frameworks and ethical concerns on their joint development,AI and Computing,,Q_given_P,"Given that NVIDIA develops a quantum computing chip for AGI applications, will Apple integrate the chip into its AGI research by 2032?","This question resolves as YES if Apple officially announces the integration of NVIDIA's quantum computing chip into its AGI research by December 31, 2032, as reported by Apple's official website or reputable tech outlets like MacRumors.",0.51,"[0.25, 0.65, 0.65, 0.65, 0.35]",0.4090453931101908
239,iter8_h0_q1,8,The model assumes a strong correlation between the development of quantum computing and the advancement of Artificial General Intelligence (AGI) without considering the impact of regulatory frameworks and ethical concerns on their joint development,AI and Computing,,P_and_Q,Will both NVIDIA develop a quantum computing chip for AGI applications by 2030 and Apple integrate the chip into its AGI research by 2032?,"This question resolves as YES if both conditions are met, as reported by NVIDIA's official website and Apple's official website. Resolution date: December 31, 2032. Resolution source: NVIDIA's official website and Apple's official website.",0.398,"[0.55, 0.32, 0.32, 0.32, 0.48]",0.4090453931101908
237,iter8_h0_q1,8,The model assumes a strong correlation between the development of quantum computing and the advancement of Artificial General Intelligence (AGI) without considering the impact of regulatory frameworks and ethical concerns on their joint development,AI and Computing,,P,Will NVIDIA develop a quantum computing chip for AGI applications by 2030?,"This question resolves as YES if NVIDIA officially announces the development of a quantum computing chip for AGI applications by December 31, 2030, as reported by NVIDIA's official website or reputable tech outlets like Wired.",0.324,"[0.25, 0.35, 0.55, 0.12, 0.35]",0.4090453931101908
268,iter9_h0_q1,9,The model assumes a strong correlation between the development of quantum computing and the advancement of Artificial General Intelligence (AGI) without considering the impact of regulatory frameworks and ethical concerns on their joint development,AI and Computing,,Q_given_P,"Given that NVIDIA develops a quantum computing chip for AGI applications, will Apple integrate the chip into its AGI research by 2032?","This question resolves as YES if Apple officially announces the integration of NVIDIA's quantum computing chip into its AGI research by December 31, 2032, as reported by Apple's official website or reputable tech outlets like MacRumors.",0.45,"[0.25, 0.65, 0.35, 0.65, 0.35]",0.4075357958907863
269,iter9_h0_q1,9,The model assumes a strong correlation between the development of quantum computing and the advancement of Artificial General Intelligence (AGI) without considering the impact of regulatory frameworks and ethical concerns on their joint development,AI and Computing,,P_and_Q,Will both NVIDIA develop a quantum computing chip for AGI applications by 2030 and Apple integrate the chip into its AGI research by 2032?,"This question resolves as YES if both conditions are met, as reported by NVIDIA's official website and Apple's official website. Resolution date: December 31, 2032. Resolution source: NVIDIA's official website and Apple's official website.",0.3636,"[0.128, 0.32, 0.25, 0.8, 0.32]",0.4075357958907863
267,iter9_h0_q1,9,The model assumes a strong correlation between the development of quantum computing and the advancement of Artificial General Intelligence (AGI) without considering the impact of regulatory frameworks and ethical concerns on their joint development,AI and Computing,,P,Will NVIDIA develop a quantum computing chip for AGI applications by 2030?,"This question resolves as YES if NVIDIA officially announces the development of a quantum computing chip for AGI applications by December 31, 2030, as reported by NVIDIA's official website or reputable tech outlets like Wired.",0.312,"[0.42, 0.35, 0.15, 0.42, 0.22]",0.4075357958907863
591,iter9_h4_q1,9,The model assumes a strong correlation between the adoption of renewable energy sources and the reduction of greenhouse gas emissions without considering the impact of energy storage and grid infrastructure on the efficacy of renewable energy sources,Energy and Environment,,P,Will the use of renewable energy sources increase by more than 20% globally by 2030?,"This question resolves as YES if the use of renewable energy sources increases by more than 20% globally by December 31, 2030, as reported by the International Energy Agency or reputable energy outlets like BloombergNEF. Resolution source: International Energy Agency or BloombergNEF.",0.8099999999999999,"[0.75, 0.85, 0.85, 0.75, 0.85]",0.4066250438581647
592,iter9_h4_q1,9,The model assumes a strong correlation between the adoption of renewable energy sources and the reduction of greenhouse gas emissions without considering the impact of energy storage and grid infrastructure on the efficacy of renewable energy sources,Energy and Environment,,Q_given_P,"Given that the use of renewable energy sources increases by more than 20% globally, will the global greenhouse gas emissions decrease by more than 10% by 2031?","This question resolves as YES if the global greenhouse gas emissions decrease by more than 10% by December 31, 2031, as reported by the United Nations Framework Convention on Climate Change or reputable environmental outlets like The Guardian. Resolution source: UNFCCC or The Guardian.",0.63,"[0.65, 0.65, 0.55, 0.65, 0.65]",0.4066250438581647
593,iter9_h4_q1,9,The model assumes a strong correlation between the adoption of renewable energy sources and the reduction of greenhouse gas emissions without considering the impact of energy storage and grid infrastructure on the efficacy of renewable energy sources,Energy and Environment,,P_and_Q,Will both the use of renewable energy sources increase by more than 20% globally by 2030 and the global greenhouse gas emissions decrease by more than 10% by 2031?,"This question resolves as YES if both conditions are met, as reported by the International Energy Agency and the UNFCCC. Resolution date: December 31, 2031. Resolution source: International Energy Agency and UNFCCC.",0.252,"[0.22, 0.23, 0.23, 0.23, 0.35]",0.4066250438581647
402,iter4_h1_q1,4,"The model overgeneralizes the impact of genetic engineering on human health, without considering the effects of individual genetic variations and environmental factors.",Genetic Engineering,,P,Will the use of genetic engineering in agriculture lead to significant increases in crop yields by 2029?,"This question resolves as YES if the use of genetic engineering in agriculture leads to significant increases in crop yields, as reported by the US Department of Agriculture or reputable agricultural outlets like AgWeb. Resolution date: December 31, 2029. Resolution source: US Department of Agriculture or AgWeb.",0.77,"[0.75, 0.85, 0.75, 0.65, 0.85]",0.3979623422054351
403,iter4_h1_q1,4,"The model overgeneralizes the impact of genetic engineering on human health, without considering the effects of individual genetic variations and environmental factors.",Genetic Engineering,,Q_given_P,"Given that genetic engineering in agriculture leads to significant increases in crop yields, will the increased yields lead to decreased food prices by 2030?","This question resolves as YES if the increased crop yields resulting from genetic engineering lead to decreased food prices, as reported by the Bureau of Labor Statistics or reputable news outlets like CNBC. Resolution date: December 31, 2030. Resolution source: Bureau of Labor Statistics or CNBC.",0.4059999999999999,"[0.42, 0.42, 0.35, 0.42, 0.42]",0.3979623422054351
404,iter4_h1_q1,4,"The model overgeneralizes the impact of genetic engineering on human health, without considering the effects of individual genetic variations and environmental factors.",Genetic Engineering,,P_and_Q,Will both genetic engineering in agriculture lead to significant increases in crop yields by 2029 and the increased yields lead to decreased food prices by 2030?,"This question resolves as YES if both conditions are met, as reported by the US Department of Agriculture and the Bureau of Labor Statistics. Resolution date: December 31, 2030. Resolution source: US Department of Agriculture and Bureau of Labor Statistics.",0.5700000000000001,"[0.65, 0.65, 0.65, 0.65, 0.25]",0.3979623422054351
283,iter9_h3_q0,9,The model overgeneralizes the impact of social media on mental health without considering the effects of individual differences and online behaviors,Social Media and Mental Health,,Q_given_P,"Given that the number of social media users who take regular breaks from social media increases by at least 20%, will the number of social media users reporting improved mental health increase by at least 15% by 2031?","This question resolves as YES if the increase in social media users taking regular breaks leads to an increase in social media users reporting improved mental health by at least 15% by December 31, 2031, compared to the 2029 levels, as reported by the World Health Organization or other credible sources.",0.538,"[0.65, 0.42, 0.65, 0.55, 0.42]",0.3966435503989877
282,iter9_h3_q0,9,The model overgeneralizes the impact of social media on mental health without considering the effects of individual differences and online behaviors,Social Media and Mental Health,,P,Will the number of social media users who take regular breaks from social media increase by at least 20% by 2029?,"This question resolves as YES if the number of social media users who take regular breaks from social media increases by at least 20% by December 31, 2029, compared to the 2028 levels, as reported by the Pew Research Center or other credible sources.",0.65,"[0.65, 0.65, 0.65, 0.65, 0.65]",0.3966435503989877
284,iter9_h3_q0,9,The model overgeneralizes the impact of social media on mental health without considering the effects of individual differences and online behaviors,Social Media and Mental Health,,P_and_Q,Will both the number of social media users who take regular breaks from social media increase by at least 20% by 2029 and the number of social media users reporting improved mental health increase by at least 15% by 2031?,"This question resolves as YES if both conditions are met, as reported by the Pew Research Center and the World Health Organization. Resolution date: December 31, 2031. Resolution source: Pew Research Center and World Health Organization.",0.604,"[0.42, 0.65, 0.65, 0.65, 0.65]",0.3966435503989877
648,iter11_h4_q0,11,The model overgeneralizes trends in the technology sector without considering specific company characteristics,Artificial Intelligence,,P,Will the development of Artificial General Intelligence (AGI) lead to significant improvements in natural language processing by 2029?,"This question resolves as YES if the development of AGI leads to significant improvements in natural language processing by December 31, 2029, as reported by a survey conducted by a reputable research firm like the Stanford Natural Language Processing Group or the Association for Computational Linguistics. Resolution source: Stanford NLP Group or ACL.",0.5439999999999999,"[0.42, 0.35, 0.65, 0.65, 0.65]",0.3955748120223443
649,iter11_h4_q0,11,The model overgeneralizes trends in the technology sector without considering specific company characteristics,Artificial Intelligence,,Q_given_P,"Given that AGI leads to significant improvements in natural language processing, will the use of chatbots increase by more than 40% among customer service providers by 2030?","This question resolves as YES if the use of chatbots increases by more than 40% among customer service providers by December 31, 2030, as reported by a survey conducted by a reputable research firm like the Customer Service Institute or the International Customer Service Institute. Resolution source: CSI or ICSI.",0.7,"[0.65, 0.62, 0.75, 0.73, 0.75]",0.3955748120223443
650,iter11_h4_q0,11,The model overgeneralizes trends in the technology sector without considering specific company characteristics,Artificial Intelligence,,P_and_Q,Will both AGI lead to significant improvements in natural language processing by 2029 and the use of chatbots increase by more than 40% by 2030?,"This question resolves as YES if both conditions are met, as reported by a survey conducted by a reputable research firm like the Stanford Natural Language Processing Group or the Association for Computational Linguistics and a survey conducted by a reputable research firm like the Customer Service Institute or the International Customer Service Institute. Resolution date: December 31, 2030. Resolution source: Stanford NLP Group or ACL and CSI or ICSI.",0.6359999999999999,"[0.73, 0.65, 0.55, 0.45, 0.8]",0.3955748120223443
224,iter7_h3_q0,7,The model overgeneralizes the impact of social media on mental health without considering the effects of individual differences and online behaviors,Social Media and Mental Health,,P_and_Q,Will both the number of social media users who take regular breaks from social media increase by at least 20% by 2029 and the number of social media users reporting improved mental health increase by at least 15% by 2031?,"This question resolves as YES if both conditions are met, as reported by the Pew Research Center and the World Health Organization. Resolution date: December 31, 2031. Resolution source: Pew Research Center and World Health Organization.",0.53,"[0.65, 0.35, 0.45, 0.65, 0.55]",0.3847712282119794
